22.8,19.4,27.9,24.4,-999.0,18.7
22.5,21.4,26.2,20.1,24.4,24.2
22.6,25.2,27.6,20.3,-999.0,20.0
24.8,22.5,26.2,20.9,25.7,22.2
-999.0,21.9,28.2,23.7,23.9,23.9
28.4,22.0,25.8,21.0,24.6,25.9
23.0,21.1,25.2,24.9,-999.0,24.6
21.8,24.0,27.7,24.0,25.6,24.0
25.4,23.8,28.4,25.2,-999.0,-999.0
22.7,22.3,27.2,27.6,-999.0,26.3
19.9,23.2,28.5,25.5,-999.0,26.1
23.4,-999.0,30.4,23.8,21.1,21.4
22.2,25.7,28.8,26.2,23.4,24.9
26.3,23.9,29.8,23.0,23.8,23.7
21.9,26.1,27.7,24.9,26.1,26.0
26.8,24.9,28.0,24.9,20.9,21.5
22.0,22.8,30.3,23.0,-999.0,28.6
24.6,27.4,27.2,25.0,-999.0,24.7
27.8,21.4,30.8,26.3,24.2,22.1
26.1,24.6,30.5,26.0,29.9,25.3
23.6,26.6,30.7,-999.0,28.2,27.0
30.0,23.4,28.7,24.0,25.4,22.9
28.1,26.0,26.9,24.0,-999.0,28.6
31.8,34.0,31.8,24.3,21.4,27.4
24.9,25.9,29.4,26.6,-999.0,27.4
-999.0,24.6,27.0,26.0,27.0,31.6
27.7,29.8,30.1,-999.0,-999.0,25.6
32.9,25.5,33.7,25.3,29.9,28.5
27.4,27.7,30.2,28.9,26.7,24.7
24.8,28.4,35.9,28.4,27.7,28.7
